datetime,open,high,low,close,volume,변동 %
2020-06-09 0:00,17905.00,18260.00,17375.00,18095.00,6.74K,0.0232
2020-06-10 0:00,17910.00,18880.00,17740.00,18685.00,9.87K,0.0326
2020-06-11 0:00,18625.00,18750.00,18450.00,18485.00,-,-0.0107
2020-06-12 0:00,18625.00,18850.00,18040.00,18410.00,12.52K,-0.0041
2020-06-13 0:00,18455.00,19515.00,18075.00,19110.00,14.15K,0.038
2020-06-14 0:00,19135.00,19605.00,18640.00,18915.00,12.22K,-0.0102
2020-06-15 0:00,18745.00,18937.50,16230.00,17140.00,-,-0.0938
2020-06-16 0:00,18865.00,18935.00,16230.00,16627.50,7.86K,-0.0299
2020-06-17 0:00,18430.00,18477.50,18350.00,18420.00,-,0.1078
2020-06-18 0:00,18275.00,20260.00,18275.00,19730.00,12.03K,0.0711
2020-06-19 0:00,19800.00,20360.00,18300.00,19275.00,13.56K,-0.0231
2020-06-20 0:00,19155.00,19585.00,18560.00,19295.00,7.99K,0.001
2020-06-21 0:00,19340.00,19880.00,19070.00,19565.00,7.20K,0.014
2020-06-22 0:00,19680.00,19750.00,18830.00,19100.00,7.57K,-0.0238
2020-06-23 0:00,19052.50,19607.50,18910.00,19550.00,-,0.0236
2020-06-24 0:00,19205.00,19615.00,19020.00,19170.00,5.21K,-0.0194
2020-06-25 0:00,19215.00,19475.00,18695.00,18825.00,7.33K,-0.018
2020-06-26 0:00,18685.00,18685.00,17705.00,18420.00,6.75K,-0.0215
2020-06-27 0:00,18630.00,18750.00,17940.00,18440.00,6.95K,0.0011
2020-06-28 0:00,18415.00,18460.00,17575.00,18020.00,6.06K,-0.0228
2020-06-29 0:00,18285.00,19335.00,18135.00,19250.00,-,0.0683
2020-06-30 0:00,19155.00,19430.00,19080.00,19270.00,6.12K,0.001
2020-07-01 0:00,19340.00,19675.00,19120.00,19560.00,5.82K,0.015
2020-07-02 0:00,19505.00,21430.00,19340.00,20930.00,12.92K,0.07
2020-07-03 0:00,21460.00,23915.00,21320.00,22870.00,16.83K,0.0927
2020-07-04 0:00,23050.00,23415.00,22435.00,22860.00,7.11K,-0.0004
2020-07-05 0:00,23297.50,23667.50,22915.00,23532.50,-,0.0294
2020-07-06 0:00,23605.00,24210.00,21950.00,22880.00,12.96K,-0.0277
2020-07-07 0:00,23260.00,23645.00,22430.00,23445.00,11.08K,0.0247
